order_date,order_year,order_month,day_number,order_quarter,order_week,order_month_period,order_quarter_period,week_number_yearly,week_number_monthly,weekday_name,weekday_number,is_weekday,is_payday,customer_type,vendor_code,unique_order_count,total_order_items,order_total_value_DKK,order_current_value_DKK,return_rate,order_total_AOV,order_current_AOV,avg_order_items
2022-07-17,2022,7,17,3,28,2022-07,2022Q3,29,3,Sunday,7,Weekend,Non-Payday,New customer,COM,85,439,86114.2116,83984.7546,0.024728287705765805,1013.1083717647058,988.05593647058822,5.1647058823529415
2022-07-17,2022,7,17,3,28,2022-07,2022Q3,29,3,Sunday,7,Weekend,Non-Payday,New customer,DE,34,158,46084.6722,36747.0648,0.20261850533462189,1355.4315352941176,1080.7960235294117,4.6470588235294121
2022-07-17,2022,7,17,3,28,2022-07,2022Q3,29,3,Sunday,7,Weekend,Non-Payday,New customer,DK,20,75,9743.2,9519.84,0.022924706461942747,487.16,475.992,3.75
2022-07-17,2022,7,17,3,28,2022-07,2022Q3,29,3,Sunday,7,Weekend,Non-Payday,New customer,US,8,21,16153.829999999998,16153.829999999998,0,2019.2287499999998,2019.2287499999998,2.625
2022-07-18,2022,7,18,3,29,2022-07,2022Q3,30,3,Monday,1,Weekday,Non-Payday,Existing customer,COM,4,9,9810.273,9722.5433999999987,0.0089426257556747477,2452.56825,2430.6358499999997,2.25
2022-07-18,2022,7,18,3,29,2022-07,2022Q3,30,3,Monday,1,Weekday,Non-Payday,Existing customer,DE,2,9,735.25759999999991,735.25759999999991,0,367.62879999999996,367.62879999999996,4.5
2022-07-18,2022,7,18,3,29,2022-07,2022Q3,30,3,Monday,1,Weekday,Non-Payday,Existing customer,US,1,1,589.05,589.05,0,589.05,589.05,1
2022-07-18,2022,7,18,3,29,2022-07,2022Q3,30,3,Monday,1,Weekday,Non-Payday,New customer,COM,21,52,50789.918,50789.918,0,2418.5675238095237,2418.5675238095237,2.4761904761904763
2022-07-18,2022,7,18,3,29,2022-07,2022Q3,30,3,Monday,1,Weekday,Non-Payday,New customer,DE,9,15,15682.8596,12868.127,0.17947827576037215,1742.5399555555555,1429.7918888888889,1.6666666666666667
2022-07-18,2022,7,18,3,29,2022-07,2022Q3,30,3,Monday,1,Weekday,Non-Payday,New customer,DK,9,13,5498.2000000000007,4179.8,0.23978756684005681,610.91111111111115,464.42222222222222,1.4444444444444444
2022-07-18,2022,7,18,3,29,2022-07,2022Q3,30,3,Monday,1,Weekday,Non-Payday,New customer,US,9,23,25661.79,25661.79,0,2851.31,2851.31,2.5555555555555554
2022-07-19,2022,7,19,3,29,2022-07,2022Q3,30,3,Tuesday,2,Weekday,Non-Payday,Existing customer,DK,1,3,354.76,354.76,0,354.76,354.76,3
2022-07-19,2022,7,19,3,29,2022-07,2022Q3,30,3,Tuesday,2,Weekday,Non-Payday,Existing customer,US,1,5,2044.35,2044.35,0,2044.35,2044.35,5
2022-07-19,2022,7,19,3,29,2022-07,2022Q3,30,3,Tuesday,2,Weekday,Non-Payday,New customer,COM,15,45,40139.3506,39542.5506,0.014868202675904668,2675.9567066666664,2636.17004,3
2022-07-19,2022,7,19,3,29,2022-07,2022Q3,30,3,Tuesday,2,Weekday,Non-Payday,New customer,DE,6,8,4952.6194,4952.6194,0,825.43656666666664,825.43656666666664,1.3333333333333333
2022-07-19,2022,7,19,3,29,2022-07,2022Q3,30,3,Tuesday,2,Weekday,Non-Payday,New customer,DK,3,11,4989,3861.48,0.2260012026458208,1663,1287.16,3.6666666666666665
2022-07-19,2022,7,19,3,29,2022-07,2022Q3,30,3,Tuesday,2,Weekday,Non-Payday,New customer,US,14,31,31884.93,29528.73,0.07389697891762663,2277.495,2109.195,2.2142857142857144
2022-07-20,2022,7,20,3,29,2022-07,2022Q3,30,3,Wednesday,3,Weekday,Non-Payday,Existing customer,COM,1,6,2564.748,2564.748,0,2564.748,2564.748,6
2022-07-20,2022,7,20,3,29,2022-07,2022Q3,30,3,Wednesday,3,Weekday,Non-Payday,Existing customer,DE,3,30,10958.068599999999,10958.068599999999,0,3652.6895333333327,3652.6895333333327,10
2022-07-20,2022,7,20,3,29,2022-07,2022Q3,30,3,Wednesday,3,Weekday,Non-Payday,Existing customer,US,1,1,6645.87,6645.87,0,6645.87,6645.87,1
2022-07-20,2022,7,20,3,29,2022-07,2022Q3,30,3,Wednesday,3,Weekday,Non-Payday,New customer,COM,18,74,36266.3424,35775.2506,0.013541255265929491,2014.7968,1987.5139222222222,4.1111111111111107
2022-07-20,2022,7,20,3,29,2022-07,2022Q3,30,3,Wednesday,3,Weekday,Non-Payday,New customer,DE,2,4,1468.7248,1468.7248,0,734.3624,734.3624,2
2022-07-20,2022,7,20,3,29,2022-07,2022Q3,30,3,Wednesday,3,Weekday,Non-Payday,New customer,DK,2,7,1744.6,1744.6,0,872.3,872.3,3.5
2022-07-20,2022,7,20,3,29,2022-07,2022Q3,30,3,Wednesday,3,Weekday,Non-Payday,New customer,US,15,41,58367.924999999996,58367.924999999996,0,3891.1949999999997,3891.1949999999997,2.7333333333333334
2022-07-21,2022,7,21,3,29,2022-07,2022Q3,30,3,Thursday,4,Weekday,Non-Payday,Existing customer,DE,2,7,3893.0009999999997,3893.0009999999997,0,1946.5004999999999,1946.5004999999999,3.5
2022-07-21,2022,7,21,3,29,2022-07,2022Q3,30,3,Thursday,4,Weekday,Non-Payday,New customer,COM,18,51,86641.260600000009,79081.3712,0.087255071632695219,4813.4033666666674,4393.409511111111,2.8333333333333335
2022-07-21,2022,7,21,3,29,2022-07,2022Q3,30,3,Thursday,4,Weekday,Non-Payday,New customer,DE,7,22,11714.1396,11714.1396,0,1673.4485142857143,1673.4485142857143,3.1428571428571428
2022-07-21,2022,7,21,3,29,2022-07,2022Q3,30,3,Thursday,4,Weekday,Non-Payday,New customer,DK,2,2,1914.6,1914.6,0,957.3,957.3,1
2022-07-21,2022,7,21,3,29,2022-07,2022Q3,30,3,Thursday,4,Weekday,Non-Payday,New customer,US,6,28,22454.586,13036.716,0.41941855441022158,3742.431,2172.786,4.666666666666667
2022-07-22,2022,7,22,3,29,2022-07,2022Q3,30,4,Friday,5,Weekday,Non-Payday,Existing customer,COM,4,14,2018.8998000000001,1223.067,0.39419133133798917,504.72495000000004,305.76675,3.5
2022-07-22,2022,7,22,3,29,2022-07,2022Q3,30,4,Friday,5,Weekday,Non-Payday,Existing customer,DK,3,26,4607.04,4607.04,0,1535.68,1535.68,8.6666666666666661
2022-07-22,2022,7,22,3,29,2022-07,2022Q3,30,4,Friday,5,Weekday,Non-Payday,Existing customer,US,3,5,8891.1899999999987,8891.1899999999987,0,2963.7299999999996,2963.7299999999996,1.6666666666666667
2022-07-22,2022,7,22,3,29,2022-07,2022Q3,30,4,Friday,5,Weekday,Non-Payday,New customer,COM,16,61,37720.6694,37720.6694,0,2357.5418375,2357.5418375,3.8125
2022-07-22,2022,7,22,3,29,2022-07,2022Q3,30,4,Friday,5,Weekday,Non-Payday,New customer,DE,5,6,1827.9984,1827.9984,0,365.59968,365.59968,1.2
2022-07-22,2022,7,22,3,29,2022-07,2022Q3,30,4,Friday,5,Weekday,Non-Payday,New customer,DK,7,14,8589.88,8589.88,0,1227.1257142857141,1227.1257142857141,2
